gcp_file,id,url,annotation_output,gcp_output
atlas_municipal_1887/planche_1.points,atlas_municipal_1887_bhdv_1,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0002.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0002.json,
atlas_municipal_1887/planche_2.points,atlas_municipal_1887_bhdv_2,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0003.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0003.json,
atlas_municipal_1887/planche_3.points,atlas_municipal_1887_bhdv_3,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0004.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0004.json,
atlas_municipal_1887/planche_4.points,atlas_municipal_1887_bhdv_4,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0005.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0005.json,
atlas_municipal_1887/planche_5.points,atlas_municipal_1887_bhdv_5,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0006.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0006.json,
atlas_municipal_1887/planche_6.points,atlas_municipal_1887_bhdv_6,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0007.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0007.json,
atlas_municipal_1887/planche_7.points,atlas_municipal_1887_bhdv_7,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0008.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0008.json,
atlas_municipal_1887/planche_8.points,atlas_municipal_1887_bhdv_8,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0009.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0009.json,
atlas_municipal_1887/planche_9.points,atlas_municipal_1887_bhdv_9,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0010.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0010.json,
atlas_municipal_1887/planche_10.points,atlas_municipal_1887_bhdv_10,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0011.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0011.json,
atlas_municipal_1887/planche_11.points,atlas_municipal_1887_bhdv_11,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0012.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0012.json,
atlas_municipal_1887/planche_12.points,atlas_municipal_1887_bhdv_12,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0013.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0013.json,
atlas_municipal_1887/planche_13.points,atlas_municipal_1887_bhdv_13,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0014.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0014.json,
atlas_municipal_1887/planche_14.points,atlas_municipal_1887_bhdv_14,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0015.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0015.json,
atlas_municipal_1887/planche_15.points,atlas_municipal_1887_bhdv_15,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0016.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0016.json,
atlas_municipal_1887/planche_16.points,atlas_municipal_1887_bhdv_16,https://iiif.geohistoricaldata.org/iiif/3/BHdV_PL_ATL20Ardt_1887_0017.jpg,bhdv_atlas_municipal_1887/BHdV_PL_ATL20Ardt_1887_0017.json,
