,gcp_file,id,url,annotation_output,gcp_output
f3,bnf_verniquet/f3.jpg.points,bnf_verniquet_01,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f3,output/bnf_verniquet/f3.json,
f4,bnf_verniquet/f4.jpg.points,bnf_verniquet_02,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f4,output/bnf_verniquet/f4.json,
f5,bnf_verniquet/f5.jpg.points,bnf_verniquet_03,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f5,output/bnf_verniquet/f5.json,
f6,bnf_verniquet/f6.jpg.points,bnf_verniquet_04,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f6,output/bnf_verniquet/f6.json,
f7,bnf_verniquet/f7.jpg.points,bnf_verniquet_05,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f7,output/bnf_verniquet/f7.json,
f8,bnf_verniquet/f8.jpg.points,bnf_verniquet_06,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f8,output/bnf_verniquet/f8.json,
f9,bnf_verniquet/f9.jpg.points,bnf_verniquet_07,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f9,output/bnf_verniquet/f9.json,
f10,bnf_verniquet/f10.jpg.points,bnf_verniquet_08,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f10,output/bnf_verniquet/f10.json,
f11,bnf_verniquet/f11.jpg.points,bnf_verniquet_09,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f11,output/bnf_verniquet/f11.json,
f12,bnf_verniquet/f12.jpg.points,bnf_verniquet_10,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f12,output/bnf_verniquet/f12.json,
f13,bnf_verniquet/f13.jpg.points,bnf_verniquet_11,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f13,output/bnf_verniquet/f13.json,
f14,bnf_verniquet/f14.jpg.points,bnf_verniquet_12,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f14,output/bnf_verniquet/f14.json,
f15,bnf_verniquet/f15.jpg.points,bnf_verniquet_13,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f15,output/bnf_verniquet/f15.json,
f16,bnf_verniquet/f16.jpg.points,bnf_verniquet_14,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f16,output/bnf_verniquet/f16.json,
f17,bnf_verniquet/f17.jpg.points,bnf_verniquet_15,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f17,output/bnf_verniquet/f17.json,
f18,bnf_verniquet/f18.jpg.points,bnf_verniquet_16,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f18,output/bnf_verniquet/f18.json,
f19,bnf_verniquet/f19.jpg.points,bnf_verniquet_17,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f19,output/bnf_verniquet/f19.json,
f20,bnf_verniquet/f20.jpg.points,bnf_verniquet_18,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f20,output/bnf_verniquet/f20.json,
f21,bnf_verniquet/f21.jpg.points,bnf_verniquet_19,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f21,output/bnf_verniquet/f21.json,
f22,bnf_verniquet/f22.jpg.points,bnf_verniquet_20,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f22,output/bnf_verniquet/f22.json,
f23,bnf_verniquet/f23.jpg.points,bnf_verniquet_21,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f23,output/bnf_verniquet/f23.json,
f24,bnf_verniquet/f24.jpg.points,bnf_verniquet_22,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f24,output/bnf_verniquet/f24.json,
