,,gcp_file,id,url,annotation_output,gcp_output
10110002,RUMSEY~8~1~305628~90076037,rumsey_verniquet/10110002.jp2.points,rumsey_verniquet_01,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305628~90076037,output/rumsey_verniquet/10110002.json,
10110003,RUMSEY~8~1~305629~90076036,rumsey_verniquet/10110003.jp2.points,rumsey_verniquet_02,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305629~90076036,output/rumsey_verniquet/10110003.json,
10110004,RUMSEY~8~1~305630~90076035,rumsey_verniquet/10110004.jp2.points,rumsey_verniquet_03,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305630~90076035,output/rumsey_verniquet/10110004.json,
10110005,RUMSEY~8~1~305631~90076034,rumsey_verniquet/10110005.jp2.points,rumsey_verniquet_04,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305631~90076034,output/rumsey_verniquet/10110005.json,
10110006,RUMSEY~8~1~305632~90076033,rumsey_verniquet/10110006.jp2.points,rumsey_verniquet_05,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305632~90076033,output/rumsey_verniquet/10110006.json,
10110007,RUMSEY~8~1~305633~90076032,rumsey_verniquet/10110007.jp2.points,rumsey_verniquet_06,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305633~90076032,output/rumsey_verniquet/10110007.json,
10110008,RUMSEY~8~1~305634~90076031,rumsey_verniquet/10110008.jp2.points,rumsey_verniquet_07,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305634~90076031,output/rumsey_verniquet/10110008.json,
10110009,RUMSEY~8~1~305635~90076030,rumsey_verniquet/10110009.jp2.points,rumsey_verniquet_08,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305635~90076030,output/rumsey_verniquet/10110009.json,
10110010,RUMSEY~8~1~305636~90076029,rumsey_verniquet/10110010.jp2.points,rumsey_verniquet_09,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305636~90076029,output/rumsey_verniquet/10110010.json,
10110011,RUMSEY~8~1~305637~90076028,rumsey_verniquet/10110011.jp2.points,rumsey_verniquet_10,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305637~90076028,output/rumsey_verniquet/10110011.json,
10110012,RUMSEY~8~1~305638~90076027,rumsey_verniquet/10110012.jp2.points,rumsey_verniquet_11,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305638~90076027,output/rumsey_verniquet/10110012.json,
10110013,RUMSEY~8~1~305639~90076026,rumsey_verniquet/10110013.jp2.points,rumsey_verniquet_12,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305639~90076026,output/rumsey_verniquet/10110013.json,
10110014,RUMSEY~8~1~305640~90076025,rumsey_verniquet/10110014.jp2.points,rumsey_verniquet_13,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305640~90076025,output/rumsey_verniquet/10110014.json,
10110015,RUMSEY~8~1~305641~90076024,rumsey_verniquet/10110015.jp2.points,rumsey_verniquet_14,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305641~90076024,output/rumsey_verniquet/10110015.json,
10110016,RUMSEY~8~1~305642~90076023,rumsey_verniquet/10110016.jp2.points,rumsey_verniquet_15,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305642~90076023,output/rumsey_verniquet/10110016.json,
10110017,RUMSEY~8~1~305643~90076022,rumsey_verniquet/10110017.jp2.points,rumsey_verniquet_16,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305643~90076022,output/rumsey_verniquet/10110017.json,
10110018,RUMSEY~8~1~305644~90076021,rumsey_verniquet/10110018.jp2.points,rumsey_verniquet_17,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305644~90076021,output/rumsey_verniquet/10110018.json,
10110019,RUMSEY~8~1~305645~90076020,rumsey_verniquet/10110019.jp2.points,rumsey_verniquet_18,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305645~90076020,output/rumsey_verniquet/10110019.json,
10110020,RUMSEY~8~1~305646~90076019,rumsey_verniquet/10110020.jp2.points,rumsey_verniquet_19,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305646~90076019,output/rumsey_verniquet/10110020.json,
10110021,RUMSEY~8~1~305647~90076018,rumsey_verniquet/10110021.jp2.points,rumsey_verniquet_20,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305647~90076018,output/rumsey_verniquet/10110021.json,
10110022,RUMSEY~8~1~305648~90076017,rumsey_verniquet/10110022.jp2.points,rumsey_verniquet_21,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305648~90076017,output/rumsey_verniquet/10110022.json,
10110023,RUMSEY~8~1~305649~90076016,rumsey_verniquet/10110023.jp2.points,rumsey_verniquet_22,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305649~90076016,output/rumsey_verniquet/10110023.json,
10110024,RUMSEY~8~1~305650~90076015,rumsey_verniquet/10110024.jp2.points,rumsey_verniquet_23,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305650~90076015,output/rumsey_verniquet/10110024.json,
10110025,RUMSEY~8~1~305651~90076014,rumsey_verniquet/10110025.jp2.points,rumsey_verniquet_24,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305651~90076014,output/rumsey_verniquet/10110025.json,
10110026,RUMSEY~8~1~305652~90076013,rumsey_verniquet/10110026.jp2.points,rumsey_verniquet_25,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305652~90076013,output/rumsey_verniquet/10110026.json,
10110027,RUMSEY~8~1~305653~90076012,rumsey_verniquet/10110027.jp2.points,rumsey_verniquet_26,https://www.davidrumsey.com/luna/servlet/iiif/RUMSEY~8~1~305653~90076012,output/rumsey_verniquet/10110027.json,
